Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1971,97,PHI,Jake Jones,Assumption College,1,0.389,,0.645,11.9,4.5,1.5,0.7,0,-0.009,,
1971,104,BUF,Randy Smith,State University of New York College at Buffalo,12,0.47,0.155,0.781,32.2,16.7,3.7,4.6,60.1,0.092,0.9,19.6
1971,117,CHI,Artis Gilmore,Jacksonville University,12,0.599,0.077,0.713,32.7,17.1,10.1,2,107.4,0.174,3.3,39.6
1971,120,CLE,Charlie Davis,Wake Forest University,3,0.408,,0.806,18.4,8.9,1.5,2.2,1.4,0.026,-9.9,-0.2
1971,125,SEA,Charlie Lowery,University of Puget Sound,1,0.447,,0.611,6.7,2.3,1,0.7,0.2,0.083,,
1971,131,PHI,Barry Yates,University of Maryland,1,0.373,,0.636,6,2.9,1.7,0.3,-0.2,-0.075,,
1971,139,POR,Goo Kennedy,Texas Christian University,1,0.534,,0.375,8.7,2,1.6,0.2,0.3,0.045,-4.4,-0.2
1971,150,CHI,Jackie Dinkins,Voorhees College,1,0.415,,0.55,4.9,2.5,1.1,0.4,0.1,0.073,,
1972,1,POR,LaRue Martin,Loyola University of Chicago,4,0.416,,0.685,14,5.3,4.6,0.7,1.9,0.024,-4.6,-1.9
1972,2,BUF,Bob McAdoo,University of North Carolina,14,0.503,0.081,0.754,33.2,22.1,9.4,2.3,89.1,0.151,2.1,26.5
1972,3,CLE,Dwight Davis,University of Houston,5,0.423,,0.73,23.6,8.6,5.9,1.6,11.4,0.068,-1.2,1.1
1972,4,PHO,Corky Calhoun,University of Pennsylvania,8,0.46,,0.782,20.1,5.3,3.6,1.1,14.4,0.064,-2.1,-0.2
1972,5,PHI,Freddie Boyd,Oregon State University,6,0.414,,0.667,23.6,8.5,1.6,3,1.4,0.009,-4.8,-3.8
1972,6,MIL,Russ Lee,Marshall University,3,0.391,,0.685,6,2.9,1.2,0.7,0.5,0.038,-2.9,-0.1
1972,7,SEA,Bud Stallworth,University of Kansas,5,0.414,,0.686,17.5,7.7,2.8,0.7,0.7,0.006,-6.2,-4.5
1972,8,NYK,Tom Riker,University of South Carolina,3,0.38,,0.593,7.4,2.7,1.7,0.3,0.4,0.033,-5.7,-0.5
1972,9,DET,Bob Nash,University of Hawaii,4,0.435,,0.73,11.7,4.7,2.2,0.7,2.6,0.048,-3.1,-0.7
1972,10,BOS,Paul Westphal,University of Southern California,12,0.504,0.275,0.82,25.5,15.6,1.9,4.4,67.7,0.155,1.5,18
1972,11,CHI,Ralph Simpson,Michigan State University,4,0.404,0,0.724,18.3,8.4,2,2.2,0.7,0.008,-4.3,-2.3
1972,12,MIL,Julius Erving,University of Massachusetts Amherst,11,0.507,0.261,0.777,34.3,22,6.7,3.9,106.2,0.178,5.1,51.6
1972,13,LAL,Travis Grant,Kentucky State University,1,0.433,,0.828,4.4,3.6,1.5,0.2,0.4,0.124,-29.6,0
1972,14,POR,Bob Davis,Weber State University,1,0.214,,0.667,4.6,1.8,0.6,0.2,-0.3,-0.396,,
1972,15,BUF,Harold Fox,Jacksonville University,1,0.375,,0.875,8.4,3.1,0.8,1,0,-0.014,,
1972,16,LAL,Jim Price,University of Louisville,7,0.444,,0.815,25.1,10,3.1,3.7,19.7,0.074,-0.2,5.6
1972,17,DET,Chris Ford,Villanova University,10,0.46,0.375,0.731,27.8,9.2,3,3.4,35.6,0.077,0.4,12.4
1972,18,SEA,Joby Wright,Indiana University,1,0.478,,0.416,12.1,3.9,2.8,0.5,0.6,0.033,,
1972,19,KCO,Sam Sibert,Kentucky State University,1,0.308,,0.8,5.2,2.4,0.8,0,-0.1,-0.105,,
1972,20,HOU,John Gianelli,University of the Pacific,8,0.47,,0.702,25.2,7.8,5.9,1.5,23,0.081,-0.8,4
1972,21,ATL,Steve Bracey,University of Tulsa,3,0.466,,0.684,15.3,6.1,1.6,2.2,3.9,0.066,-3.6,-0.7
1972,22,LAL,Paul Stovall,Arizona State University,1,0.342,,0.632,8.4,3,2.4,0.5,-0.1,-0.024,,
